WKT,OBJECTID,hour,lon,depth,month,second,magnitude,year,lat,day,minute,Shape_X,Shape_Y
POINT (-13135701.3304 4793548.2351),411,11,-118,,12,30,5,1954,39.5,16,57,-1.30E+07,4793548
POINT (-13157965.2297 4767613.8032),412,13,-118.2,,12,3,5,1954,39.32,16,15,-1.30E+07,4767614
POINT (-13157965.2324 4793548.2328),413,14,-118.2,,12,57,5.8,1954,39.5,16,16,-1.30E+07,4793548
POINT (-13135701.3304 4793548.2351),414,14,-118,,12,10,5.3,1954,39.5,16,24,-1.30E+07,4793548
POINT (-13157965.2324 4793548.2328),415,15,-118.2,,12,42,5.1,1954,39.5,16,9,-1.30E+07,4793548
POINT (-13135701.3304 4793548.2351),416,20,-118,,12,6,5,1954,39.5,17,27,-1.30E+07,4793548
POINT (-13135701.3377 4865943.068),417,17,-118,,12,47,5,1954,40,20,36,-1.30E+07,4865943
POINT (-13779128.1112 5002022.8959),418,19,-123.78,,12,29,6.6,1954,40.93,21,56,-1.40E+07,5002023
POINT (-13135701.3233 4721672.3362),419,12,-118,,1,54,5.1,1955,39,1,13,-1.30E+07,4721672
POINT (-13135701.3233 4721672.3362),420,9,-118,,1,50,5,1955,39,9,10,-1.30E+07,4721672
POINT (-13163531.2003 4717376.0007),421,19,-118.25,,6,,5.2,1955,38.97,19,20,-1.30E+07,4717376
POINT (-13191361.0781 4721672.3307),422,19,-118.5,,6,16,5,1955,39,19,25,-1.30E+07,4721672
POINT (-13210285.3857 4626149.948),423,10,-118.67,,8,35,5.2,1955,38.33,8,35,-1.30E+07,4626150
POINT (-13556489.0451 4490806.9557),424,2,-121.78,,9,18,5.5,1955,37.37,5,1,-1.40E+07,4490807
POINT (-13586545.3198 4575189.3823),425,4,-122.05,,10,44,5.4,1955,37.97,24,10,-1.40E+07,4575189
POINT (-13460754.2522 4300622.038),426,19,-120.92,,11,6,5.2,1955,36,2,40,-1.30E+07,4300622
POINT (-13144606.89 4782013.5543),427,20,-118.08,,11,33,5.5,1955,39.42,21,25,-1.30E+07,4782014
POINT (-12855176.0919 3889996.4752),428,6,-115.48,6,12,28.18,5.26,1955,32.96,17,7,-1.30E+07,3889996
POINT (-13185795.1106 4800764.1473),429,9,-118.45,,7,17,5.1,1956,39.55,26,53,-1.30E+07,4800764
POINT (-14000653.9243 4963788.627),430,16,-125.77,,10,50,6,1956,40.67,11,48,-1.40E+07,4963789
POINT (-13410660.4729 4293744.2972),431,3,-120.47,,11,9,5,1956,35.95,16,23,-1.30E+07,4293744
POINT (-13239228.4571 4614803.6109),432,17,-118.93,,12,45,5,1956,38.25,31,37,-1.30E+07,4614804
POINT (-13243681.2379 4619057.0204),433,17,-118.97,,12,24,5.1,1956,38.28,31,39,-1.30E+07,4619057
POINT (-13634412.7041 4532912.8845),434,19,-122.48,8.5,3,21,5.3,1957,37.67,22,44,-1.40E+07,4532913
POINT (-12880779.5806 3909914.3841),435,21,-115.71,6,4,37.7,5.18,1957,33.11,25,57,-1.30E+07,3909914
POINT (-12879666.3857 3912572.6716),436,22,-115.7,6,4,10.54,5.19,1957,33.13,25,24,-1.30E+07,3912573
POINT (-12884119.1587 3786962.3052),437,3,-115.74,6,12,17.09,5.77,1958,32.18,1,21,-1.30E+07,3786962
POINT (-12898590.6941 3771189.7552),438,6,-115.87,6,12,29.61,5.4,1958,32.06,1,2,-1.30E+07,3771190
POINT (-13536451.5288 4436320.0921),439,23,-121.6,30,3,17,5.3,1959,36.98,2,27,-1.40E+07,4436320
POINT (-13137927.7219 4807985.2715),440,7,-118.02,,3,20,6.3,1959,39.6,23,10,-1.30E+07,4807985
POINT (-13380604.2542 4825337.2349),441,18,-120.2,,4,30,5.6,1959,39.72,1,18,-1.30E+07,4825337
POINT (-13224756.9324 4736006.6111),443,15,-118.8,,6,34,5.5,1959,39.1,23,4,-1.30E+07,4736007
POINT (-13948333.7643 5031536.3099),444,1,-125.3,,7,9,5.8,1959,41.13,24,23,-1.40E+07,5031536
POINT (-13196927.0322 4488005.9277),445,7,-118.55,,8,59,5.2,1959,37.35,4,36,-1.30E+07,4488006
POINT (-13961692.0913 4909634.4181),446,8,-125.42,,12,42,5.1,1959,40.3,5,13,-1.40E+07,4909634
POINT (-13517527.2102 4408486.5057),447,3,-121.43,,1,53,5,1960,36.78,20,25,-1.40E+07,4408487
POINT (-13216964.5459 4511838.7926),448,7,-118.73,,6,7,5.2,1960,37.52,5,47,-1.30E+07,4511839
POINT (-13901579.5665 4985828.5723),449,1,-124.88,,6,48,5.7,1960,40.82,6,17,-1.40E+07,4985829
POINT (-13920503.8946 5089347.5029),450,10,-125.05,61,12,26,5.4,1960,41.52,27,35,-1.40E+07,5089348
POINT (-13141267.2591 4266276.7454),451,8,-118.05,6,1,46.08,5.05,1961,35.75,28,12,-1.30E+07,4266277
POINT (-13205832.5941 4502018.7027),452,,-118.63,,2,16,5.3,1961,37.45,2,4,-1.30E+07,4502019
POINT (-13210285.3741 4497812.9055),453,,-118.67,,2,42,5.1,1961,37.42,2,7,-1.30E+07,4497813
POINT (-13887108.0203 4892134.6815),454,4,-124.75,,4,45,5.1,1961,40.18,6,4,-1.40E+07,4892135
POINT (-13503055.6729 4394596.9585),455,7,-121.3,,4,16,5.5,1961,36.68,9,23,-1.40E+07,4394597
POINT (-13503055.6732 4397373.4218),456,7,-121.3,,4,41,5.5,1961,36.7,9,25,-1.40E+07,4397373
POINT (-13180229.1556 4997603.6634),457,4,-118.4,,7,,5.4,1961,40.9,4,56,-1.30E+07,4997604
POINT (-13202493.0456 4884852.3321),458,11,-118.6,,7,11,5,1961,40.13,4,9,-1.30E+07,4884852
POINT (-13113437.383 4282748.9755),459,5,-117.8,4.3,10,44.39,5.13,1961,35.87,19,9,-1.30E+07,4282749
POINT (-13297114.6015 4610551.9508),460,15,-119.45,6,4,51.9,5.1,1962,38.22,13,38,-1.30E+07,4610552
POINT (-13950560.1402 4905256.5739),461,7,-125.32,,4,14.7,5.4,1962,40.27,14,53,-1.40E+07,4905257
POINT (-13727921.1092 4731704.144),462,17,-123.32,5,6,6.2,5.2,1962,39.07,6,50,-1.40E+07,4731704
POINT (-13972824.044 4928627.5866),463,19,-125.52,30,7,46.2,5.1,1962,40.43,14,43,-1.40E+07,4928628
POINT (-13840353.8558 5138537.3392),464,19,-124.33,2,8,13.1,5.6,1962,41.85,23,29,-1.40E+07,5138537
POINT (-13539791.1128 4421002.5991),465,19,-121.63,,9,17,5.4,1963,36.87,14,46,-1.40E+07,4421003
POINT (-13026608.1438 3983239.8361),466,14,-117.02,1.8,9,53.03,5.29,1963,33.66,23,41,-1.30E+07,3983240
POINT (-13224756.9268 4678790.5444),467,16,-118.8,,3,55.9,5.5,1964,38.7,22,30,-1.30E+07,4678791
POINT (-13146833.2701 4678790.5519),468,13,-118.1,,10,5,5.3,1964,38.7,23,57,-1.30E+07,4678791
POINT (-13546470.2856 4447473.9978),469,2,-121.69,,11,41.7,5,1964,37.06,16,46,-1.40E+07,4447474
POINT (-14003993.5067 4938869.8814),470,4,-125.8,33,9,8,5,1965,40.5,16,10,-1.40E+07,4938870
POINT (-12959816.4472 4123187.3843),471,17,-116.42,6,9,43.48,5.15,1965,34.7,25,43,-1.30E+07,4123187
POINT (-13388396.5698 4274509.7285),472,4,-120.27,6,6,16.1,6,1966,35.81,28,26,-1.30E+07,4274510
POINT (-13375038.2743 4782013.5311),473,16,-120.15,,9,1.9,6,1966,39.42,12,41,-1.30E+07,4782014
POINT (-13375038.2743 4782013.5311),474,17,-120.15,,9,11,5.3,1966,39.42,12,20,-1.30E+07,4782014
POINT (-13881542.0502 4938869.8951),475,12,-124.7,,12,52.2,5.6,1967,40.5,10,6,-1.40E+07,4938870
POINT (-13556489.0405 4439107.4664),476,17,-121.78,,12,32,5.3,1967,37,18,24,-1.40E+07,4439107
POINT (-12923080.9951 3917891.0613),477,2,-116.09,15,4,58.65,6.6,1968,33.17,9,28,-1.30E+07,3917891
POINT (-12917515.0191 3909914.3818),478,3,-116.04,5,4,53.5,5.2,1968,33.11,9,3,-1.30E+07,3909914
POINT (-12924194.1897 3908585.4647),479,7,-116.1,6,4,51.92,5.08,1968,33.1,9,3,-1.30E+07,3908585
POINT (-13833674.658 4899422.479),480,1,-124.27,,6,20.8,5.4,1968,40.23,26,42,-1.40E+07,4899422
POINT (-13322718.0432 4050307.0407),481,,-119.68,4.8,7,17.94,5.04,1968,34.16,5,45,-1.30E+07,4050307
POINT (-12954250.4585 3925873.2008),482,23,-116.37,6,4,45.24,5.47,1969,33.23,28,20,-1.30E+07,3925873
POINT (-13657789.8112 4646036.1756),483,4,-122.69,,10,46.5,5.6,1969,38.47,2,56,-1.40E+07,4646036
POINT (-13657789.8111 4644614.4492),484,6,-122.69,,10,57.1,5.7,1969,38.46,2,19,-1.40E+07,4644614
POINT (-13510848.0138 4075896.4836),485,22,-121.37,6,10,32.14,5.11,1969,34.35,22,51,-1.40E+07,4075896
POINT (-13525319.5527 4116419.3139),486,17,-121.5,6,11,8.06,5.46,1969,34.65,5,54,-1.40E+07,4116419
POINT (-13083381.0993 4065114.9606),487,14,-117.53,7.6,9,52.92,5.22,1970,34.27,12,30,-1.30E+07,4065115
POINT (-13923843.4565 4884852.2547),488,21,-125.08,,9,21,5.4,1970,40.13,13,10,-1.40E+07,4884852
POINT (-13176889.4887 4085338.8085),489,14,-118.37,8.9,2,41.92,6.6,1971,34.42,9,,-1.30E+07,4085339
POINT (-13176889.4887 4085338.8085),490,14,-118.37,6,2,12.45,5.8,1971,34.42,9,1,-1.30E+07,4085339
POINT (-13176889.4887 4085338.8085),491,14,-118.37,6,2,45.74,5.8,1971,34.42,9,2,-1.30E+07,4085339
POINT (-13176889.4887 4085338.8085),492,14,-118.37,6,2,29.04,5.3,1971,34.42,9,10,-1.30E+07,4085339
POINT (-13896013.5822 4905256.5799),493,,-124.83,,2,37.7,5.2,1971,40.27,27,31,-1.40E+07,4905257
POINT (-12891911.531 3897959.5691),494,22,-115.81,6,9,11.41,5.01,1971,33.02,30,46,-1.30E+07,3897960
POINT (-13493036.9161 4380725.4555),495,15,-121.21,7.5,2,51,5.1,1972,36.58,24,56,-1.30E+07,4380725
POINT (-13942767.7813 4963788.6335),496,9,-125.25,,3,42,5.2,1972,40.67,1,28,-1.40E+07,4963789
POINT (-13252586.751 4027459.9874),497,14,-119.05,10,2,56.46,5.9,1973,33.99,21,45,-1.30E+07,4027460
POINT (-13299340.9444 4022090.8559),498,23,-119.47,15,8,16.63,5.14,1973,33.95,6,29,-1.30E+07,4022091
POINT (-13829221.8782 4903797.737),499,2,-124.23,2,8,25.8,5.1,1973,40.26,9,18,-1.40E+07,4903798
POINT (-13870410.1014 4956453.0203),500,19,-124.6,30,12,43.5,5.2,1973,40.62,21,12,-1.40E+07,4956453
POINT (-13965031.7033 5143021.6782),501,11,-125.45,33,3,36.8,5.1,1974,41.88,3,37,-1.40E+07,5143022
POINT (-13930522.6315 4927165.2766),502,5,-125.14,12,7,58.6,5.4,1974,40.42,3,,-1.40E+07,4927165
POINT (-13934975.411 4919856.9604),503,11,-125.18,1,7,57.5,5,1974,40.37,13,9,-1.40E+07,4919857
POINT (-13521979.9922 4427962.3579),504,23,-121.47,6.1,11,24.56,5.37,1974,36.92,28,1,-1.40E+07,4427962
POINT (-13965031.6782 4925703.1754),505,13,-125.45,10,1,16.4,5,1975,40.41,28,53,-1.40E+07,4925703
POINT (-12967608.8112 4097490.5488),506,1,-116.49,0.1,6,48.74,5.28,1975,34.51,1,38,-1.30E+07,4097491
POINT (-13834787.8581 4944727.4407),507,8,-124.28,23.6,6,23.51,5.31,1975,40.54,7,46,-1.40E+07,4944727
POINT (-13531998.7812 4783454.6254),508,20,-121.56,8.4,8,4.72,6.1,1975,39.43,1,20,-1.40E+07,4783455
POINT (-13408434.0883 4362719.3376),509,6,-120.45,18.8,8,17.66,5.23,1975,36.45,3,35,-1.30E+07,4362719
POINT (-13419566.0341 4300622.0412),510,21,-120.55,11.2,9,58.99,5.07,1975,36,13,20,-1.30E+07,4300622
POINT (-12870760.8248 3911243.4528),511,10,-115.62,4.6,11,37.78,5.06,1976,33.12,4,41,-1.30E+07,3911243
POINT (-13993974.7644 5055211.8822),512,11,-125.71,15,11,25.2,6.69,1976,41.29,26,19,-1.40E+07,5055212
POINT (-13408434.1514 5012342.4472),513,2,-120.45,5,11,47,5,1976,41,27,49,-1.30E+07,5012342
POINT (-12777252.4267 3760686.2238),514,12,-114.78,8,12,56.3,5.7,1976,31.98,7,59,-1.30E+07,3760686
POINT (-14020691.4544 5128081.9957),515,9,-125.95,15,12,58.4,5.5,1976,41.78,23,38,-1.40E+07,5128082
POINT (-13279303.4835 4647458.1355),516,6,-119.29,5,2,6.5,5,1977,38.48,22,24,-1.30E+07,4647458
POINT (-13721241.9437 4780572.592),517,21,-123.26,15.5,11,53.3,5.21,1977,39.41,22,15,-1.40E+07,4780573
POINT (-12836251.7696 3797488.8888),518,21,-115.31,10,5,15.77,5.03,1978,32.26,5,3,-1.30E+07,3797489
POINT (-13326057.6298 4070504.4361),519,22,-119.71,18,8,52.91,5.78,1978,34.31,13,54,-1.30E+07,4070504
POINT (-13337189.6326 4694492.8693),520,21,-119.81,14,9,52.5,5.2,1978,38.81,4,54,-1.30E+07,4694493
POINT (-13213624.9606 4511838.7929),521,16,-118.7,5,10,47.75,5.44,1978,37.52,4,42,-1.30E+07,4511839
POINT (-13999540.7292 4963788.6271),522,15,-125.76,26.1,10,50.2,5.33,1978,40.67,15,36,-1.40E+07,4963789
POINT (-13911598.3159 4931552.8755),523,19,-124.97,46,10,17.07,5.56,1978,40.45,15,55,-1.40E+07,4931553
POINT (-13933862.2177 4935942.4289),524,4,-125.17,56,10,5.81,5.53,1978,40.48,16,23,-1.40E+07,4935942
POINT (-14009559.4839 4956453.0046),525,6,-125.85,98.5,12,7.6,5.02,1978,40.62,3,48,-1.40E+07,4956453
POINT (-13211398.5323 4020748.9742),526,23,-118.68,11.3,1,38.94,5.2,1979,33.94,1,14,-1.30E+07,4020749
POINT (-13839240.6437 4993186.2938),527,9,-124.32,23.6,2,17.07,5.13,1979,40.87,3,58,-1.40E+07,4993186
POINT (-13366132.7224 4867396.3232),528,15,-120.07,17,2,28.1,5,1979,40.01,22,57,-1.30E+07,4867396
POINT (-12962042.834 4073200.1705),529,21,-116.44,2.5,3,16.53,5.51,1979,34.33,15,7,-1.30E+07,4073200
POINT (-13919390.6929 5033014.3426),530,6,-125.04,5,4,54.09,5.35,1979,41.14,7,18,-1.40E+07,5033014
POINT (-13927183.0522 4979946.3904),531,10,-125.11,45,8,51.52,5.86,1979,40.78,1,50,-1.40E+07,4979946
POINT (-13526432.7747 4453055.3628),532,17,-121.51,8.9,8,22.91,5.74,1979,37.1,6,5,-1.40E+07,4453055
POINT (-13285982.6506 4610551.9518),533,20,-119.35,11,10,41.5,5.2,1979,38.22,7,54,-1.30E+07,4610552
POINT (-12837364.9674 3843652.2981),534,23,-115.32,12.3,10,53.44,6.51,1979,32.61,15,16,-1.30E+07,3843652
POINT (-12850723.31 3864815.5878),535,23,-115.44,9.2,10,29.98,5.2,1979,32.77,15,19,-1.30E+07,3864816
POINT (-12861855.2624 3886016.9548),536,5,-115.54,10.4,10,10.18,5.1,1979,32.93,16,49,-1.30E+07,3886017
POINT (-12861855.2624 3886016.9548),537,6,-115.54,9.2,10,48.68,5.14,1979,32.93,16,19,-1.30E+07,3886017
POINT (-12864081.6532 3896632.0121),538,6,-115.56,9.1,10,42.79,5.61,1979,33.01,16,58,-1.30E+07,3896632
POINT (-13874862.8792 4933015.8471),539,15,-124.64,26.8,10,51.52,5.04,1979,40.46,24,23,-1.40E+07,4933016
POINT (-13555375.8559 4556848.4678),540,19,-121.77,14.7,1,8.63,5.81,1980,37.84,24,,-1.40E+07,4556848
POINT (-13556489.0506 4552620.5424),541,19,-121.78,7.1,1,1.53,5.1,1980,37.81,24,1,-1.40E+07,4552621
POINT (-13548696.6843 4544169.8424),542,2,-121.71,14.7,1,35.32,5.18,1980,37.75,27,33,-1.40E+07,4544170
POINT (-12974287.9729 3964531.0694),543,10,-116.55,6,2,38.7,5.1,1980,33.52,25,47,-1.30E+07,3964531
POINT (-13928296.2413 4925703.1794),544,14,-125.12,11.6,3,3.85,5.47,1980,40.41,3,17,-1.40E+07,4925703
POINT (-13228096.4977 4521668.0995),545,16,-118.83,9,5,44,6.19,1980,37.59,25,33,-1.30E+07,4521668
POINT (-13238115.2546 4532912.9204),546,16,-118.92,10.7,5,26.81,6,1980,37.67,25,49,-1.30E+07,4532913
POINT (-13226983.3017 4511838.7917),547,19,-118.82,17.2,5,50.24,5.88,1980,37.52,25,44,-1.30E+07,4511839
POINT (-13229209.6931 4525883.4893),548,20,-118.84,6.6,5,47.93,5.7,1980,37.62,25,35,-1.30E+07,4525883
POINT (-13226983.3027 4523073.0407),549,20,-118.82,16.5,5,22.37,5,1980,37.6,25,59,-1.30E+07,4523073
POINT (-13232549.2777 4517454.4079),550,12,-118.87,10.8,5,24.83,5.1,1980,37.56,26,24,-1.30E+07,4517454
POINT (-13233662.4722 4511838.7912),551,18,-118.88,4.4,5,55.52,5.7,1980,37.52,26,57,-1.30E+07,4511839
POINT (-13225870.1064 4509032.1124),552,14,-118.81,15.9,5,56.81,5.85,1980,37.5,27,50,-1.30E+07,4509032
POINT (-12799516.3307 3792224.4427),553,3,-114.98,5,6,18.9,6.33,1980,32.22,9,28,-1.30E+07,3792224
POINT (-13210285.3811 4576601.6008),554,7,-118.67,15,6,14.1,5,1980,37.98,29,46,-1.30E+07,4576602
POINT (-13233662.4728 4517454.4078),555,16,-118.88,6.8,8,55.88,5.21,1980,37.56,1,38,-1.30E+07,4517454
POINT (-13198040.2359 4586492.2807),556,1,-118.56,14,9,42.7,5.1,1980,38.05,7,30,-1.30E+07,4586492
POINT (-13200266.626 4583665.4081),557,4,-118.58,15,9,38.3,5.27,1980,38.03,7,36,-1.30E+07,4583665
POINT (-13871523.304 5022672.8691),558,10,-124.61,15.1,11,33.37,7.3,1980,41.07,8,27,-1.40E+07,5022673
POINT (-13885994.8263 4902339.0961),559,11,-124.74,15,11,38.7,5,1980,40.25,8,20,-1.40E+07,4902339
POINT (-13890447.6111 4943262.7217),560,23,-124.78,15,11,10.4,5,1980,40.53,8,7,-1.40E+07,4943263
POINT (-13952786.5341 4938869.8872),561,4,-125.34,15,11,8.8,5,1980,40.5,9,9,-1.40E+07,4938870
POINT (-13406207.735 4764736.3),562,18,-120.43,5,11,13.1,5.2,1980,39.3,28,21,-1.30E+07,4764736
POINT (-13887108.0389 5056693.5438),563,13,-124.75,3.2,12,31.65,5.5,1980,41.3,24,29,-1.40E+07,5056694
POINT (-13165757.5794 4599222.7791),564,22,-118.27,23,12,8.7,5,1980,38.14,28,58,-1.30E+07,4599223
POINT (-12870760.8245 3908585.468),565,12,-115.62,18.8,4,28.29,5.9,1981,33.1,26,9,-1.30E+07,3908585
POINT (-13260379.1129 3969873.3171),566,15,-119.12,6,9,48.7,5.84,1981,33.56,4,50,-1.30E+07,3969873
POINT (-13232549.278 4520263.3467),567,11,-118.87,5.6,9,26.17,5.6,1981,37.58,30,53,-1.30E+07,4520263
POINT (-13990635.1644 4924241.2923),568,12,-125.68,5,1,21.58,5.45,1982,40.4,13,26,-1.40E+07,4924241
POINT (-13930522.6423 5022672.8624),569,12,-125.14,9.2,2,2.38,5.49,1982,41.07,6,2,-1.40E+07,5022673
POINT (-13153512.4296 4558258.1951),570,7,-118.16,7.5,9,24.43,5.34,1982,37.85,24,40,-1.30E+07,4558258
POINT (-13108984.6012 4264905.1846),571,14,-117.76,3.8,10,1.7,5.12,1982,35.74,1,29,-1.30E+07,4264905
POINT (-13402868.1111 4340599.3232),572,22,-120.4,6,10,4.22,5.44,1982,36.29,25,26,-1.30E+07,4340599
POINT (-13234775.6689 4528694.6939),573,1,-118.89,7.9,1,10.36,5.35,1983,37.64,7,38,-1.30E+07,4528695
POINT (-13239228.4491 4527288.9964),574,3,-118.93,13,1,18.92,5.28,1983,37.63,7,24,-1.30E+07,4527289
POINT (-13393962.5498 4332316.0195),575,23,-120.32,10,5,38.13,6.34,1983,36.23,2,42,-1.30E+07,4332316
POINT (-13390622.9646 4332316.0198),576,23,-120.29,8,5,6,5.7,1983,36.23,2,46,-1.30E+07,4332316
POINT (-13391736.1598 4335076.4143),577,2,-120.3,13.2,5,11.53,5.2,1983,36.25,9,49,-1.30E+07,4335076
POINT (-13963918.484 4933015.837),578,6,-125.44,10,5,33.13,5.49,1983,40.46,29,55,-1.40E+07,4933016
POINT (-13409547.2813 4335076.4128),579,3,-120.46,7.3,6,52.67,5.44,1983,36.25,11,9,-1.30E+07,4335076
POINT (-13403981.3057 4333696.1277),580,7,-120.41,9.1,7,51.24,5.14,1983,36.24,9,40,-1.30E+07,4333696
POINT (-13400641.7207 4336456.8758),581,2,-120.38,9.2,7,54.78,5.68,1983,36.26,22,39,-1.30E+07,4336457
POINT (-13403981.3055 4330936.0862),582,22,-120.41,9.1,7,39.52,5.21,1983,36.22,25,31,-1.30E+07,4330936
POINT (-13906032.3394 4919856.9636),583,13,-124.92,11.9,8,28.87,6.15,1983,40.37,24,36,-1.40E+07,4919857
POINT (-13389509.7694 4330936.0873),584,9,-120.28,7.2,9,13.51,5.43,1983,36.22,9,16,-1.30E+07,4330936
POINT (-14002880.3102 4927165.2685),585,10,-125.79,9.5,12,0.9,5.89,1983,40.42,20,41,-1.40E+07,4927165
POINT (-13568734.179 4351653.6304),586,5,-121.89,8.2,1,19.93,5.12,1984,36.37,23,40,-1.40E+07,4351654
POINT (-13946107.3625 4928627.5896),587,15,-125.28,4,2,12.63,5.04,1984,40.43,28,16,-1.40E+07,4928628
POINT (-13545357.0935 4482406.0143),588,21,-121.68,8.5,4,18.76,6.15,1984,37.31,24,15,-1.40E+07,4482406
POINT (-13874862.877 4914014.2175),589,21,-124.64,20.7,8,54.44,5.33,1984,40.33,4,45,-1.40E+07,4914014
POINT (-13203606.2041 4503421.0099),590,18,-118.61,10.9,11,25.37,5.79,1984,37.46,23,8,-1.30E+07,4503421
POINT (-13203606.2036 4499214.651),591,19,-118.61,12.8,11,34.7,5.49,1984,37.43,23,12,-1.30E+07,4499215
POINT (-13208058.9843 4502018.7024),592,16,-118.65,9,11,40.83,5.12,1984,37.45,26,21,-1.30E+07,4502019
POINT (-13226983.3098 4602053.9036),593,11,-118.82,13.3,1,21.4,5,1985,38.16,24,27,-1.30E+07,4602054
POINT (-13363906.2816 4321281.4955),594,12,-120.05,6,8,56.03,6.08,1985,36.15,4,1,-1.30E+07,4321281
POINT (-13500829.2842 4411266.5899),595,19,-121.28,8.7,1,50.93,5.39,1986,36.8,26,20,-1.40E+07,4411267
POINT (-13953899.7483 5105716.1015),596,1,-125.35,10,2,57.25,5.3,1986,41.63,11,15,-1.40E+07,5105716
POINT (-13546470.2908 4506226.156),597,11,-121.69,9.2,3,39.8,5.61,1986,37.48,31,55,-1.40E+07,4506226
POINT (-12980967.1477 4028802.6827),598,9,-116.61,10.3,7,44.56,6.02,1986,34,8,20,-1.30E+07,4028803
POINT (-13121229.7214 3891323.2657),599,13,-117.87,6,7,8.21,5.81,1986,32.97,13,47,-1.30E+07,3891323
POINT (-13184681.8887 4518858.7872),600,14,-118.44,6.8,7,45.45,5.77,1986,37.57,20,29,-1.30E+07,4518859
POINT (-13184681.8883 4514646.2273),601,14,-118.44,10.6,7,26.01,6.22,1986,37.54,21,42,-1.30E+07,4514646
POINT (-13181342.3022 4504823.5065),602,14,-118.41,11.5,7,8.61,5.7,1986,37.47,21,51,-1.30E+07,4504824
POINT (-13179115.9137 4523073.0449),603,22,-118.39,3.1,7,16.36,5.38,1986,37.6,21,7,-1.30E+07,4523073
POINT (-13188021.4735 4513242.417),604,13,-118.47,12.2,7,59.17,5,1986,37.53,22,48,-1.30E+07,4513242
POINT (-13176889.5219 4504823.5069),605,7,-118.37,7.3,7,39.77,5.47,1986,37.47,31,22,-1.30E+07,4504824
POINT (-13180229.1076 4510435.3621),606,14,-118.4,9.5,8,18.15,5.1,1986,37.51,1,28,-1.30E+07,4510435
POINT (-13873749.6825 4919856.9672),607,23,-124.63,0.4,11,58.53,5.1,1986,40.37,21,32,-1.40E+07,4919857
POINT (-13848146.1959 4918395.9577),608,23,-124.4,16.1,11,18.99,5.1,1986,40.36,21,34,-1.40E+07,4918396
POINT (-12836251.7706 3814614.3944),609,3,-115.31,6,2,14.85,5.48,1987,32.39,7,45,-1.30E+07,3814614
POINT (-13436263.9599 4295119.4957),610,7,-120.7,6,2,53.42,5.2,1987,35.96,14,26,-1.30E+07,4295119
POINT (-13845919.8068 4927165.2859),611,23,-124.38,17.5,7,57.82,5.99,1987,40.42,31,56,-1.40E+07,4927165
POINT (-13144606.8277 4036862.0553),612,14,-118.08,9.5,10,20.02,5.89,1987,34.06,1,42,-1.30E+07,4036862
POINT (-13146833.2181 4038205.8402),613,10,-118.1,8.3,10,38.19,5.21,1987,34.07,4,59,-1.30E+07,4038206
POINT (-12889685.1413 3907256.7012),614,1,-115.79,10.8,11,14.66,6.04,1987,33.09,24,54,-1.30E+07,3907257
POINT (-12896364.3114 3897959.5688),615,13,-115.85,11.2,11,56.71,6.51,1987,33.02,24,15,-1.30E+07,3897960
POINT (-13504168.8695 4411266.5896),616,8,-121.31,9.6,2,57.24,5.03,1988,36.8,20,39,-1.40E+07,4411267
POINT (-13218077.7123 4155731.0316),617,23,-118.74,6.8,6,43.05,5.37,1988,34.94,10,6,-1.30E+07,4155731
POINT (-13552036.2649 4493608.7629),618,1,-121.74,9.7,6,36.52,5.01,1988,37.39,13,45,-1.40E+07,4493609
POINT (-13569847.3831 4457243.3154),619,18,-121.9,13.2,6,22.32,5.3,1988,37.13,27,43,-1.40E+07,4457243
POINT (-13173549.9493 4644614.4955),620,2,-118.34,9,9,31.77,5,1988,38.46,19,56,-1.30E+07,4644614
POINT (-13150172.8041 4048961.8372),621,11,-118.13,14.3,12,26.45,5.02,1988,34.15,3,38,-1.30E+07,4048962
POINT (-12988759.5132 4026117.4864),622,5,-116.68,8.1,12,4,5.03,1988,33.98,16,53,-1.30E+07,4026117
POINT (-13573186.9685 4460036.2084),623,8,-121.93,14,8,27.39,5.4,1989,37.15,8,13,-1.40E+07,4460036
POINT (-13875976.0719 4912554.0712),624,17,-124.65,16.9,9,18.4,5.13,1989,40.32,21,41,-1.40E+07,4912554
POINT (-13567620.9917 4444684.4179),625,,-121.88,17.3,10,15.2,6.89,1989,37.04,18,4,-1.40E+07,4444684
POINT (-13586545.3099 4465624.211),626,,-122.05,15.8,10,23.77,5.1,1989,37.19,18,41,-1.40E+07,4465624
POINT (-13838127.4383 4899422.4784),627,20,-124.31,13,1,21.37,5.46,1990,40.23,16,8,-1.40E+07,4899422
POINT (-13102305.4148 4047616.7843),628,23,-117.7,4.5,2,36.75,5.67,1990,34.14,28,43,-1.30E+07,4047617
POINT (-13543130.6987 4429354.855),629,13,-121.66,5.6,4,51.3,5.4,1990,36.93,18,53,-1.40E+07,4429355
POINT (-13545357.0892 4433533.448),630,15,-121.68,6.8,4,3.45,5.1,1990,36.96,18,46,-1.40E+07,4433533
POINT (-13261492.3563 4586492.2747),631,6,-119.13,12.6,10,19.51,5.31,1990,38.05,24,15,-1.30E+07,4586492
POINT (-13134588.0738 4065114.957),632,14,-117.99,9.2,6,54.66,5.64,1991,34.27,28,43,-1.30E+07,4065115
POINT (-13961692.0927 4922779.6326),633,,-125.42,5,8,3.2,5.17,1991,40.39,3,49,-1.40E+07,4922780
POINT (-13958352.5298 5116147.0292),634,22,-125.39,10,8,17.21,6.27,1991,41.7,16,26,-1.40E+07,5116147
