WKT,OBJECTID,hour,lon,depth,month,second,magnitude,year,lat,day,minute,Shape_X,Shape_Y
POINT (-13024381.766 4163881.8211),234,14,-117,,9,,5.5,1928,35,5,42,-1.30E+07,4163882
POINT (-12990985.9001 3975218.0759),235,19,-116.7,,10,,5.5,1928,33.6,2,1,-1.30E+07,3975218
POINT (-12970948.3995 4140803.4313),236,20,-116.52,,9,22.7,5.1,1929,34.83,26,,-1.30E+07,4140803
POINT (-13156852.0033 4425177.9392),237,19,-118.19,,11,,5.5,1929,36.9,28,49,-1.30E+07,4425178
POINT (-13013249.8074 4055689.5181),238,,-116.9,,1,33.9,5.5,1930,34.2,16,24,-1.30E+07,4055690
POINT (-13015476.1975 4052997.971),239,,-116.92,,1,3.6,5.1,1930,34.18,16,34,-1.30E+07,4052998
POINT (-12857402.4825 3895304.6043),240,2,-115.5,,2,,5,1930,33,26,30,-1.30E+07,3895305
POINT (-13302680.5349 4096139.686),241,11,-119.5,,8,,5,1930,34.5,5,25,-1.30E+07,4096140
POINT (-13205832.5569 4022090.8622),242,,-118.63,,8,36,5.2,1930,33.95,31,40,-1.30E+07,4022091
POINT (-13825882.3043 5004970.205),243,2,-124.2,,9,,5.5,1930,40.95,23,58,-1.40E+07,5004970
POINT (-13914937.894 4865942.9851),245,3,-125,,3,53,5.6,1931,40,10,28,-1.40E+07,4865943
POINT (-13981729.6007 4895049.1428),246,18,-125.6,,8,35,5.3,1931,40.2,23,1,-1.40E+07,4895049
POINT (-13914937.9068 4982887.0381),247,13,-125,,9,30,5.8,1931,40.8,9,40,-1.40E+07,4982887
POINT (-13469659.8128 4300622.0372),248,16,-121,,2,,5,1932,36,26,58,-1.30E+07,4300622
POINT (-13837014.2525 4982887.0471),249,8,-124.3,,6,22,6.4,1932,40.8,6,44,-1.40E+07,4982887
POINT (-13135701.3198 4685924.9787),250,6,-118,,12,5,7.2,1932,38.75,21,10,-1.30E+07,4685925
POINT (-13135701.3205 4693064.4031),251,12,-118,,12,99.99,5,1932,38.8,24,41,-1.30E+07,4693064
POINT (-13135701.3205 4693064.4031),252,3,-118,,12,99.99,5.5,1932,38.8,25,55,-1.30E+07,4693064
POINT (-13093399.8965 4582252.2712),253,5,-117.62,,12,99.99,5.3,1932,38.02,26,2,-1.30E+07,4582252
POINT (-13135701.3205 4693064.4031),254,6,-118,,12,99.99,5.2,1932,38.8,29,21,-1.30E+07,4693064
POINT (-13135701.3205 4693064.4031),255,6,-118,,12,99.99,5,1932,38.8,29,38,-1.30E+07,4693064
POINT (-13135701.3205 4693064.4031),256,6,-118,,12,99.99,5,1932,38.8,29,46,-1.30E+07,4693064
POINT (-13135701.3198 4685924.9787),257,6,-118,,1,20,5.9,1933,38.75,5,50,-1.30E+07,4685925
POINT (-13132361.6779 3980565.2873),258,1,-117.97,6,3,9.5,6.4,1933,33.64,11,54,-1.30E+07,3980565
POINT (-13131248.4842 4001979.0655),259,5,-117.96,6,3,48.33,5,1933,33.8,11,18,-1.30E+07,4001979
POINT (-13134588.068 3979228.2493),260,6,-117.99,6,3,44.67,5.28,1933,33.63,11,58,-1.30E+07,3979228
POINT (-13283756.272 4733138.1241),261,20,-119.33,,6,27,6.1,1933,39.08,25,45,-1.30E+07,4733138
POINT (-13175776.3371 4619057.0268),262,20,-118.36,,1,31,6.3,1934,38.28,30,16,-1.30E+07,4619057
POINT (-13135701.3099 4579426.5522),263,16,-118,,3,,5,1934,38,13,20,-1.30E+07,4579427
POINT (-13390622.9597 4271764.7037),264,4,-120.29,6,6,48.95,6,1934,35.79,8,47,-1.30E+07,4271765
POINT (-13998427.544 5049287.5555),265,22,-125.75,,7,,6.5,1934,41.25,6,48,-1.40E+07,5049288
POINT (-12868534.4317 3864815.5867),266,13,-115.6,6,12,15.21,6.5,1934,32.77,30,52,-1.30E+07,3864816
POINT (-12860742.0639 3830444.4425),267,18,-115.53,6,12,49.8,7,1934,32.51,31,45,-1.30E+07,3830444
POINT (-13942767.7744 4902339.0898),268,22,-125.25,,1,58,5.8,1935,40.25,2,40,-1.40E+07,4902339
POINT (-12824006.6214 3760686.2212),269,1,-115.2,,2,,5.5,1935,31.98,24,45,-1.30E+07,3760686
POINT (-13803618.4039 5012342.4023),270,17,-124,,6,,5,1935,41,3,8,-1.40E+07,5012342
POINT (-12830685.7982 3867463.6714),271,7,-115.26,6,12,31.31,5.28,1935,32.79,20,45,-1.30E+07,3867464
POINT (-13176889.5236 4524478.1751),272,17,-118.37,10,5,13.2,5,1936,37.61,10,40,-1.30E+07,4524478
POINT (-13914937.9103 5012342.3894),273,1,-125,,10,,5,1936,41,10,25,-1.40E+07,5012342
POINT (-13942767.7785 4938869.8882),274,4,-125.25,,2,34,5.8,1937,40.5,7,41,-1.40E+07,4938870
POINT (-13169097.1668 4621893.6106),275,9,-118.3,,2,,5,1937,38.3,19,9,-1.30E+07,4621894
POINT (-12962042.8262 3956522.3002),276,16,-116.44,6,3,3.98,5.6,1937,33.46,25,49,-1.30E+07,3956522
POINT (-13078928.3139 3989928.9086),277,8,-117.49,6,5,55.44,5.22,1938,33.71,31,34,-1.30E+07,3989929
POINT (-13803618.4039 5012342.4023),278,18,-124,,7,,5,1938,41,1,13,-1.40E+07,5012342
POINT (-13803618.3877 4865942.9971),279,6,-124,,9,,5.5,1938,40,12,10,-1.40E+07,4865943
POINT (-13497489.6949 4362719.3303),280,12,-121.25,,9,,5,1938,36.45,27,23,-1.30E+07,4362719
POINT (-13202493.0088 4502018.703),281,17,-118.6,10,12,52.6,5.7,1938,37.45,3,42,-1.30E+07,4502019
POINT (-13269284.7348 4721672.3231),282,22,-119.2,,1,,5.5,1939,39,11,,-1.30E+07,4721672
POINT (-13082267.8851 3758061.7538),283,23,-117.52,6,5,9.02,5.03,1939,31.96,1,53,-1.30E+07,3758062
POINT (-13082267.8851 3758061.7538),284,23,-117.52,6,5,9.02,5.03,1939,31.96,1,53,-1.30E+07,3758062
POINT (-12781705.2427 4296494.9222),285,20,-114.82,,5,46.7,5,1939,35.97,4,44,-1.30E+07,4296495
POINT (-13116777.0008 4661688.253),286,18,-117.83,,5,,5.5,1939,38.58,11,4,-1.30E+07,4661688
POINT (-13052211.6654 4441895.6192),287,17,-117.25,,6,,5,1939,37.02,13,15,-1.30E+07,4441896
POINT (-13519753.6006 4411266.5883),288,13,-121.45,,6,,5.5,1939,36.8,24,2,-1.40E+07,4411267
POINT (-13076701.9096 3756749.7419),289,16,-117.47,6,6,27.63,5.3,1939,31.95,24,27,-1.30E+07,3756750
POINT (-13460754.2519 4296494.8684),290,12,-120.92,6,12,33.03,5.16,1939,35.97,28,15,-1.30E+07,4296495
POINT (-13536451.5701 4865943.0257),291,8,-121.6,,2,59,5.7,1940,40,8,5,-1.40E+07,4865943
POINT (-12946458.1002 4039549.7975),292,5,-116.3,6,5,59.91,5.33,1940,34.08,18,3,-1.30E+07,4039550
POINT (-12946458.1 4035518.4422),293,5,-116.3,6,5,21.68,5.21,1940,34.05,18,51,-1.30E+07,4035518
POINT (-12859628.8714 3875411.4925),294,4,-115.52,6,5,42.51,6.9,1940,32.85,19,36,-1.30E+07,3875411
POINT (-12857402.4811 3872761.6218),295,4,-115.5,6,5,56.18,5.15,1940,32.83,19,54,-1.30E+07,3872762
POINT (-12857402.4813 3875411.4926),296,5,-115.5,6,5,38.13,5.41,1940,32.85,19,51,-1.30E+07,3875411
POINT (-12857402.4811 3872761.6218),297,6,-115.5,6,5,21.4,5.18,1940,32.83,19,33,-1.30E+07,3872762
POINT (-12857402.4811 3872761.6218),298,6,-115.5,6,5,33.45,5.18,1940,32.83,19,35,-1.30E+07,3872762
POINT (-12947571.2858 3891323.2765),299,10,-116.31,6,6,8.12,5.03,1940,32.97,4,35,-1.30E+07,3891323
POINT (-13803618.3877 4865942.9971),300,23,-124,,12,42,5.5,1940,40,20,40,-1.40E+07,4865943
POINT (-13959465.7076 4968192.6448),301,9,-125.4,,2,42,6.6,1941,40.7,9,44,-1.40E+07,4968193
POINT (-13321604.8483 4052997.9498),302,7,-119.67,6,7,55.38,5.9,1941,34.18,1,50,-1.30E+07,4052998
POINT (-13247020.8475 4865943.0563),303,3,-119,,7,42,5,1941,40,18,53,-1.30E+07,4865943
